ID,ItemID,ConduitID
4,180842,5
5,180844,7
6,180847,8
7,180896,9
8,180932,10
9,180933,11
10,180935,12
11,180943,13
12,180944,14
13,181373,15
14,181376,16
15,181383,17
17,181389,18
18,181435,19
19,181455,20
20,181461,21
21,181462,22
22,181464,23
23,181465,24
24,181466,25
25,181467,26
26,181469,27
27,181495,28
28,181498,29
29,181504,30
30,181505,31
31,181506,32
32,181508,33
33,181509,34
34,181511,36
35,181512,37
36,181539,38
37,181553,39
38,181600,40
39,181624,41
40,181640,42
41,181639,43
42,181641,44
43,181698,45
44,181705,47
45,181707,48
46,181709,49
47,181712,50
48,181700,46
49,181734,51
50,181735,52
51,181736,53
52,181737,54
53,181738,55
54,181740,56
55,181510,35
56,181742,57
57,181756,58
58,181759,59
59,181770,60
60,181769,61
61,181775,63
62,181776,64
63,181786,65
64,181774,62
65,181826,66
66,181827,67
67,181834,68
68,181837,69
69,181836,70
70,181838,71
71,181840,72
72,181841,74
73,181843,75
74,181845,77
75,181847,78
76,181848,79
77,181866,80
78,181867,81
79,181942,82
80,181943,83
81,181944,84
82,181962,85
83,181974,87
84,181975,88
85,181980,89
86,181981,90
87,181982,91
88,182105,92
89,182106,93
90,182107,94
91,182108,95
92,182109,96
93,182110,97
94,182111,98
95,182113,99
96,181842,73
97,182129,101
98,182125,100
99,182126,102
100,182127,103
101,182128,104
102,182130,105
103,182132,106
104,182131,107
105,182133,108
106,182134,109
107,182135,110
108,182136,112
109,182137,111
110,182138,113
111,182139,114
112,182140,115
113,182141,116
114,182144,120
115,182142,117
116,182145,119
117,182143,118
118,182187,121
119,181963,86
120,182201,122
121,182203,123
122,182206,124
123,182208,125
124,182288,126
125,181844,76
126,182292,127
127,182295,128
128,182304,129
129,182307,133
130,182316,130
131,182317,132
132,182321,137
133,182318,131
134,182324,134
135,182325,135
136,182330,138
137,182331,139
138,182335,140
139,182336,141
140,182338,142
141,182339,143
142,182344,145
144,182345,146
145,182346,147
146,182347,148
147,182348,149
148,182368,150
149,182340,144
150,182383,151
151,182384,152
152,182385,153
153,182440,154
154,182441,157
155,182442,158
156,182449,160
157,182448,159
158,182460,162
159,182461,163
160,182456,161
161,182462,164
162,182463,165
163,182464,166
164,182465,167
165,182468,169
166,182466,168
167,182469,170
168,182470,171
169,182471,172
170,182476,173
171,182478,174
172,182480,175
173,182559,176
174,182582,177
175,182584,178
176,182598,179
177,182604,180
178,182605,181
179,182608,182
180,182610,183
181,182622,184
182,182621,185
183,182624,186
184,182646,187
185,182648,188
186,182649,189
187,182651,190
188,182657,192
189,182656,191
190,182667,193
191,182675,194
192,182677,196
193,182681,195
194,182684,197
195,182685,198
196,182686,199
197,182706,200
198,182736,201
199,182743,202
200,182747,203
201,182748,204
202,182750,205
203,182751,206
205,182752,207
206,182754,208
207,182753,209
208,182767,210
209,182755,211
210,182772,214
211,182777,215
212,182778,216
213,182769,212
214,182960,217
215,182961,218
216,182962,219
217,182964,220
218,183044,221
219,183076,222
220,183132,223
221,183167,224
222,183184,226
223,183197,249
224,183199,250
225,183202,251
226,183396,252
227,183402,253
228,183464,254
229,183465,255
230,183466,256
231,183467,257
232,183468,258
233,183469,259
234,183470,260
235,183476,261
236,183477,262
237,183478,263
238,183479,264
239,183480,265
240,183481,266
241,183482,267
242,183483,268
243,183484,269
244,183485,270
245,183486,271
246,183487,272
247,183488,273
248,183489,274
249,183490,275
250,183491,276
251,183471,277
252,183472,278
253,183473,279
254,183474,280
256,182770,213
257,183492,225
258,183493,227
259,183494,228
260,183495,229
261,183496,230
262,183497,231
263,183498,232
264,183499,233
265,183500,234
266,183501,235
267,183502,236
268,183503,237
269,183504,238
270,183505,239
271,183506,240
272,183507,241
273,183508,242
274,183509,243
275,183510,244
276,183511,245
277,183512,246
278,183513,247
279,183514,248
280,183463,281
281,184587,282
282,187506,283
283,187507,284
284,199453,291
285,199454,292
286,199455,293
287,199456,294
288,199457,288
289,199458,289
290,199459,290
291,199460,286
292,199461,285
293,199462,287
